"inventory_id","part_num","color_id","quantity"
58,"6589",19,4
58,"6628",0,1
58,"6628",0,2
58,"6632",4,4
58,"6636",71,3
58,"73983",71,2
58,"76766",0,1
58,"85080",71,4
58,"85984",72,6
58,"86652",71,2
58,"87079",378,2
58,"87079",71,2
58,"87083",72,3
58,"87087",0,10
58,"87559",288,4
58,"87559",320,2
58,"87561pr01",148,1
58,"87580",71,1
58,"87610pr0001a",378,1
58,"87618",71,4
58,"88293",72,2
58,"88930",288,6
58,"88930",71,6
58,"90194",71,1
58,"90498",0,1
58,"91988",72,2
58,"91988",0,2
58,"92593",71,7
58,"92593",72,1
58,"92690",71,4
58,"92738",0,1
58,"92946",72,4
58,"93274",72,4
58,"93604",378,1
58,"93606",0,4
58,"95188",288,4
58,"95188",320,6
58,"95199",0,2
58,"96874",25,1
58,"970c00",1,1
58,"970c00",70,1
58,"970c00pr0746",379,1
58,"970x026pr0719",15,1
58,"973pr1620c01",15,1
58,"973pr2767c01",15,1
58,"973pr2809c01",71,1
58,"973pr2810c01",1,1
58,"98138",71,1
58,"98138",41,9
58,"98138",47,12
58,"98138",41,1
58,"98138",71,2
58,"98138",179,2
58,"98138",47,1
58,"98138",179,1
58,"99207",71,3
58,"99780",0,6
58,"99781",71,4
58,"99784",71,2
60,"32171pb004",0,1
60,"32573",1,1
60,"32576",1,2
60,"32577",73,1
60,"32578",73,1
60,"32579",8,1
60,"40507",73,1
64,"2335pr02",15,1
64,"2412b",0,5
64,"2431px13",4,1
64,"2431px8",1,1
64,"2446",4,1
64,"2446",1,1
64,"2447",41,2
64,"3004",1,1
64,"3004",14,1
64,"3006",15,1
64,"3010",0,2
64,"3010",15,2
64,"3010apr014",0,2
64,"3010apr015",1,2
64,"3010px2",1,1
64,"30180",7,1
64,"30182pb01",15,1
64,"30182pb02",0,1
64,"3023",4,1
64,"30278c01",15,1
64,"30278c01",4,1
64,"3037pb006",0,1
64,"3039",4,1
64,"3039pb020",0,1
64,"3062b",36,1
64,"3062b",34,1
64,"3298",0,1
64,"3626bp04",14,1
64,"3626bp05",14,2
64,"3823",41,2
64,"3829c01",7,1
64,"3829c01",0,1
64,"3901",0,1
64,"3941",15,1
64,"3941pb01",15,1
64,"4032a",4,1
64,"4070",4,2
64,"4095",15,1
64,"4286",4,2
64,"4488",4,1
64,"4589",7,6
64,"4596",15,1
64,"4599a",7,1
64,"4600",0,2
64,"4629c01",1,1
64,"55295",8,1
64,"55296",8,1
64,"55297",8,1
64,"55298",8,1
64,"55299",8,1
64,"55300",8,1
64,"6014a",15,13
64,"6015",0,13
64,"6140",0,2
64,"71137",383,2
64,"970c00",1,1
64,"970c00",0,1
64,"970c00",4,1
64,"973pr1156c01",1,1
64,"973px28c01",15,1
64,"973px36c01",4,1
64,"973px9c01",0,1
70,"3045",1,10
70,"3046a",1,5
70,"3048a",1,3
70,"3049a",1,1
70,"962",1,1
73,"10247",71,2
73,"11153",4,4
73,"11153",14,4
73,"11203",72,2
73,"11211",4,5
73,"11458",72,2
73,"11610",19,2
73,"12825",72,2
73,"13349",70,1
73,"13770",297,1
73,"14682",71,2
73,"14769",297,2
73,"15207",70,2
73,"15535",72,4
73,"16450",9999,1
73,"2340",15,2
73,"2412b",36,3
73,"2412b",0,2
73,"2412b",297,6
73,"2412b",15,4
73,"2460",72,2
73,"2476a",28,2
73,"2489",70,2
73,"2654",72,6
