"id","creation_date","question_id","score"
36203164,2016-03-24,36203038,3
36203178,2016-03-24,36202653,2
36203196,2016-03-24,36203195,7
36203208,2016-03-24,36202246,0
36203555,2016-03-24,36190215,0
36203581,2016-03-24,34170235,1
36203640,2016-03-24,36203200,4
36203665,2016-03-24,36203480,0
36203684,2016-03-24,36203480,1
36203696,2016-03-24,36203480,1
36203702,2016-03-24,36201223,1
36203772,2016-03-24,29461530,0
36203850,2016-03-24,36203346,1
36203929,2016-03-24,36195524,-1
36204003,2016-03-24,36203480,0
36204114,2016-03-24,36203783,2
36204134,2016-03-24,36193446,1
36204139,2016-03-24,36203606,1
36204263,2016-03-24,36200387,2
36204367,2016-03-24,36202414,5
36204796,2016-03-24,36202414,1
36204860,2016-03-24,13047889,1
36204931,2016-03-24,36203019,0
36204989,2016-03-24,36204830,2
36205077,2016-03-24,36202631,0
36205539,2016-03-24,36204560,1
36205586,2016-03-24,36205045,2
36205710,2016-03-24,36205659,2
36205719,2016-03-24,36204020,1
36206120,2016-03-24,36205570,0
36206198,2016-03-24,36206056,0
36206255,2016-03-24,36205472,2
36206374,2016-03-24,36206168,1
36206497,2016-03-24,36206313,3
36206763,2016-03-24,36201931,1
36206773,2016-03-24,36174935,0
36206829,2016-03-24,36206299,2
36206836,2016-03-24,36206660,4
36207024,2016-03-24,36206752,3
36207028,2016-03-24,36206749,1
36207061,2016-03-24,36207031,1
36207105,2016-03-24,36183246,2
36207443,2016-03-24,36207285,3
36207509,2016-03-24,36207483,2
36207511,2016-03-24,36205419,6
36207632,2016-03-24,36207418,2
36207680,2016-03-24,36206990,2
36207760,2016-03-24,36207564,2
36208138,2016-03-24,36207623,5
36208158,2016-03-24,36207623,7
36208356,2016-03-24,36110495,2
36208390,2016-03-24,36207643,7
36208482,2016-03-24,36208286,0
36208526,2016-03-24,36208286,0
36208659,2016-03-24,36208612,1
36208740,2016-03-24,36208239,2
36208945,2016-03-24,36200387,0
36209186,2016-03-24,27822745,1
36209219,2016-03-24,36209049,1
36209221,2016-03-24,36209049,0
36209275,2016-03-24,36209049,4
36209297,2016-03-24,36209049,0
36209301,2016-03-24,36208876,0
36209354,2016-03-24,36205562,0
36209360,2016-03-24,36209190,3
36209395,2016-03-24,36209190,4
36209471,2016-03-24,16073988,-2
36209481,2016-03-24,36208008,0
36209646,2016-03-24,36208841,1
36209759,2016-03-24,36182200,0
36209793,2016-03-24,36145458,0
36209861,2016-03-24,36209001,2
36209989,2016-03-24,36208876,0
36210151,2016-03-24,36209001,0
36210199,2016-03-24,36198451,8
36210256,2016-03-24,36207623,1
36210276,2016-03-24,36200387,2
36210351,2016-03-24,36202023,2
36210375,2016-03-24,36209946,1
36210442,2016-03-24,35905214,3
36210743,2016-03-24,36210665,2
36210816,2016-03-24,36201452,1
36210835,2016-03-24,36202167,2
36210851,2016-03-24,36210665,0
36210970,2016-03-24,36210644,2
36211033,2016-03-24,36202167,2
36211040,2016-03-24,36210952,5
36211077,2016-03-24,36208612,0
36211096,2016-03-24,36206168,2
36211258,2016-03-24,36209848,0
36211273,2016-03-24,36210952,1
36211316,2016-03-24,36208903,14
36211545,2016-03-24,36210988,5
36212026,2016-03-25,36211658,3
36212027,2016-03-25,36211658,1
36212053,2016-03-25,36208683,2
36212434,2016-03-25,36212110,3
36212503,2016-03-25,36212110,1
36212564,2016-03-25,36211995,1
36212595,2016-03-25,10566473,0
36212660,2016-03-25,36211658,2
36212754,2016-03-25,36212741,0
36212856,2016-03-25,36212637,1
36212938,2016-03-25,36209916,3
36213159,2016-03-25,36212461,2
36213299,2016-03-25,36205472,1
36213563,2016-03-25,36213535,3
36213873,2016-03-25,35215306,6
36214297,2016-03-25,36210322,4
36214358,2016-03-25,36213931,1
36215131,2016-03-25,36215022,0
36215205,2016-03-25,36215022,2
36215761,2016-03-25,36162948,3
36215939,2016-03-25,36213280,0
36216169,2016-03-25,36207032,3
36216283,2016-03-25,36215022,2
36216360,2016-03-25,36216138,6
36217132,2016-03-25,36216639,2
36217209,2016-03-25,36216099,2
36217387,2016-03-25,36216338,0
36217436,2016-03-25,36207343,0
36217935,2016-03-25,35424416,0
36218312,2016-03-25,36215590,0
36218329,2016-03-25,36218275,8
36218379,2016-03-25,36033864,3
36218497,2016-03-25,36213864,1
36218624,2016-03-25,36216639,2
36218659,2016-03-25,30435054,7
36218700,2016-03-25,25420182,3
36218891,2016-03-25,20152633,1
36218904,2016-03-25,36218643,0
36218915,2016-03-25,36218643,1
36218925,2016-03-25,36213535,0
36218936,2016-03-25,36218643,1
36219067,2016-03-25,36215737,1
36219085,2016-03-25,36218643,0
36219304,2016-03-25,36218803,0
36219338,2016-03-25,29920544,0
36219406,2016-03-25,36218803,7
36219483,2016-03-25,36212341,1
36219504,2016-03-25,36218890,0
36219515,2016-03-25,36218890,0
36220110,2016-03-25,36216542,0
36220250,2016-03-25,36193474,2
36220282,2016-03-25,36219724,1
36220835,2016-03-25,36220505,0
36220955,2016-03-25,36220823,5
36221018,2016-03-25,36194631,0
36221178,2016-03-25,36166288,14
36221285,2016-03-25,22048703,0
36221371,2016-03-25,36220823,3
