id,creation_date,score
31277545,7/7/2015,0
31277603,7/7/2015,1
31277768,7/7/2015,1
31277806,7/7/2015,13
31278008,7/7/2015,0
31278057,7/7/2015,0
31278410,7/7/2015,1
31278472,7/7/2015,0
31278543,7/7/2015,0
31278569,7/7/2015,1
31278688,7/7/2015,7
31278938,7/7/2015,5
31279347,7/7/2015,1
31279440,7/7/2015,0
31279482,7/7/2015,-1
31279493,7/7/2015,0
31279597,7/7/2015,0
31279615,7/7/2015,-1
31279675,7/7/2015,0
31279714,7/7/2015,4
31279870,7/7/2015,0
31279892,7/7/2015,0
31280004,7/7/2015,0
31280233,7/7/2015,1
31280327,7/7/2015,4
31280344,7/7/2015,0
31280395,7/7/2015,2
31280422,7/7/2015,1
31280577,7/7/2015,0
31280578,7/7/2015,1
31280670,7/7/2015,0
31280911,7/7/2015,0
31281023,7/7/2015,4
31281125,7/7/2015,2
31281534,7/8/2015,4
31281676,7/8/2015,-1
31281754,7/8/2015,7
31281796,7/8/2015,2
31281814,7/8/2015,3
31282194,7/8/2015,-1
31282628,7/8/2015,1
31282919,7/8/2015,3
31282990,7/8/2015,0
31283130,7/8/2015,3
31283148,7/8/2015,0
31283308,7/8/2015,0
31283426,7/8/2015,0
31283645,7/8/2015,-1
31284509,7/8/2015,0
31284591,7/8/2015,0
31284614,7/8/2015,0
31284620,7/8/2015,0
31284794,7/8/2015,2
31284862,7/8/2015,0
31285069,7/8/2015,1
31285532,7/8/2015,1
31285542,7/8/2015,3
31285754,7/8/2015,4
31286321,7/8/2015,0
31286333,7/8/2015,1
31286541,7/8/2015,0
31286743,7/8/2015,5
31286965,7/8/2015,2
31287110,7/8/2015,1
31287302,7/8/2015,3
31287407,7/8/2015,2
31287694,7/8/2015,0
31287819,7/8/2015,0
31287917,7/8/2015,1
31287947,7/8/2015,1
31287965,7/8/2015,1
31288145,7/8/2015,1
31288279,7/8/2015,0
31288292,7/8/2015,1
31288391,7/8/2015,0
31288423,7/8/2015,0
31288513,7/8/2015,2
31288637,7/8/2015,0
31288671,7/8/2015,2
31289111,7/8/2015,15
31289164,7/8/2015,6
31289353,7/8/2015,-4
31289491,7/8/2015,0
31289699,7/8/2015,-1
31289791,7/8/2015,0
31289987,7/8/2015,-1
31290021,7/8/2015,1
31290295,7/8/2015,2
31290328,7/8/2015,1
31290427,7/8/2015,1
31290437,7/8/2015,2
31290648,7/8/2015,4
31291067,7/8/2015,4
31291157,7/8/2015,2
31291162,7/8/2015,5
31291221,7/8/2015,0
31291470,7/8/2015,-5
31291588,7/8/2015,0
31291690,7/8/2015,4
31291833,7/8/2015,6
31291958,7/8/2015,2
31292757,7/8/2015,0
31292853,7/8/2015,8
31292905,7/8/2015,4
31293043,7/8/2015,-2
31293205,7/8/2015,2
31293325,7/8/2015,21
31293347,7/8/2015,2
31293506,7/8/2015,4
31293723,7/8/2015,1
31294022,7/8/2015,2
31294221,7/8/2015,1
31294268,7/8/2015,2
31294483,7/8/2015,3
31294486,7/8/2015,1
31294559,7/8/2015,4
31294572,7/8/2015,0
31295223,7/8/2015,0
31295376,7/8/2015,4
31295382,7/8/2015,3
31295385,7/8/2015,0
31295680,7/8/2015,0
31295828,7/8/2015,1
31295846,7/8/2015,1
31296072,7/8/2015,2
31296092,7/8/2015,5
31296133,7/8/2015,2
31296358,7/8/2015,1
31296376,7/8/2015,13
31296398,7/8/2015,3
31296541,7/8/2015,5
31296758,7/8/2015,1
31296849,7/8/2015,0
31296908,7/8/2015,0
31296990,7/8/2015,1
31296994,7/8/2015,0
31297082,7/8/2015,1
31297174,7/8/2015,0
31297196,7/8/2015,4
31297284,7/8/2015,4
31297319,7/8/2015,1
31297321,7/8/2015,1
31297325,7/8/2015,0
31297772,7/8/2015,1
31297830,7/8/2015,2
31297911,7/8/2015,3
31297944,7/8/2015,2
31298092,7/8/2015,1
31298247,7/8/2015,1
31298726,7/8/2015,-1
31298990,7/8/2015,1
31299101,7/8/2015,6
31299120,7/8/2015,1
31299254,7/8/2015,5
31299285,7/8/2015,3
31299652,7/8/2015,7
31299673,7/8/2015,0
31299681,7/8/2015,0
31299720,7/8/2015,-1
31299724,7/8/2015,0
31299843,7/8/2015,5
31299871,7/8/2015,2
31300027,7/8/2015,0
31300030,7/8/2015,1
31300162,7/8/2015,2
31300211,7/8/2015,3
31300246,7/8/2015,-1
31300429,7/8/2015,1
